eID,firstname,lastname,address,ssn,pos,status,salary
64,Selina,Herman,"505 Southeast 32nd Street, Oklahoma City GA 73129",166990934,Pharmacy Manager,FALSE,175834
65,Saige,Giles,"5113 Southeast 51st Street, Oklahoma City GA 73135",167264834,Pharmacy Manager,FALSE,175842
66,Ryleigh,Reid,"23 Florida Avenue Northeast, Washington GA 20002",163946851,Pharmacy Manager,FALSE,123826
67,Ruby,Norman,"17109 Guava Avenue, Panama City Beach GA 32413",793832038,Pharmacy Manager,FALSE,183033
68,Paisley,Mosley,"460 Woodbridge Street, Manchester GA 06042",260877079,Pharmacy Manager,FALSE,155708
69,Esperanza,Doyle,"6385 Oak Street, Arvada GA 80004",892245708,Pharmacy Manager,FALSE,144217
70,Gianna,Fitzpatrick,"249 Yellow Leaf Circle, Anchorage GA 99504",359732600,Pharmacy Technician,TRUE,31325
71,Tamara,Parsons,"4074 North Sunflower Circle, Fayetteville GA 72703",339719202,Pharmacy Technician,FALSE,34173
72,Haven,Boone,"7506 Harvey Street, Panama City GA 32404",281214906,Pharmacy Technician,TRUE,36262
73,Alyvia,Carr,"1207 Branch Lane, Glen Burnie GA 21061",863280966,Pharmacy Technician,TRUE,37250
74,Brielle,Barron,"1207 Branch Lane, Glen Burnie GA 21061",658432120,Pharmacy Technician,FALSE,38147
75,Dalia,Moyer,"1216 West Hill Street, Louisville GA 40210",107889259,Pharmacy Technician,FALSE,39265
76,Carolyn,Heath,"10725 Sunset Boulevard, Spencer GA 73084",603700504,Pharmacy Technician,FALSE,36480
77,Carmen,Krause,"3100 Don Juan Court, Montgomery GA 36110",663347761,Pharmacy Technician,TRUE,37113
78,Adriana,Herrera,"407 West Hillwood Drive, Nashville GA 37205",762537219,Pharmacy Technician,FALSE,33716
79,Kaylyn,Burns,"407 West Hillwood Drive, Nashville GA 37205",931898525,Pharmacy Technician,FALSE,30321
80,Elena,Day,"98 Lincoln Street, Revere GA 02151",994271485,Pharmacy Technician,FALSE,38403
81,Shirley,Holder,"17433 Teklanika Drive, Anchorage GA 99577",228044853,Pharmacy Technician,FALSE,34612
82,Aylin,Patterson,"900 North Leverett Avenue, Fayetteville GA 72701",792804206,Pharmacy Technician,FALSE,33272
83,Gabrielle,Novak,"601 Farragut Place Northeast, Washington GA 20017",509589937,Pharmacy Technician,FALSE,39562
84,Amanda,Guerra,"3620 Colmar Drive, Louisville GA 40211",907710182,Pharmacy Technician,FALSE,32075
85,Annabelle,Wood,"5620 Lilly Street, Panama City GA 32404",456920281,Pharmacy Technician,FALSE,30032
86,Araceli,Willis,"45430 Lauri Lane, Oakhurst GA 93644",482251352,Pharmacy Technician,FALSE,35138
87,Alyson,Sharp,"517 Copperfield Way, Brentwood GA 37027",664158791,Pharmacy Technician,FALSE,31581
88,Quinn,Bender,"2829 31st Street Northwest, Washington GA 20008",716963311,Pharmacy Technician,FALSE,30514
89,Sofia,Mccoy,"3 Southerberry Drive, undefined GA 05468",414428454,Pharmacy Technician,TRUE,38947
90,Denise,Levy,"1559 Alabama Avenue Southeast, Washington GA 20032",351875805,Pharmacy Technician,FALSE,31744
91,Finley,Juarez,"3820 North Peniel Avenue, Bethany GA 73008",438973091,Pharmacy Technician,FALSE,37196
92,Lillianna,Chung,"91 Rushforde Drive, Manchester GA 06040",739108720,Pharmacy Technician,FALSE,35284
93,Mylie,Olsen,"3959 Fairlands Drive, Pleasanton GA 94588",102649666,Pharmacy Technician,FALSE,30702
94,Cloe,Aguilar,"2246 West Fairview Avenue, Montgomery GA 36108",573739504,Pharmacy Crossover,FALSE,37520
95,Natasha,Bullock,"8293 Grayson Grove, Montgomery GA 36117",693969801,Pharmacy Crossover,FALSE,31903
96,Adrienne,Shepard,"1452 55th Avenue, Oakland GA 94621",781977725,Pharmacy Crossover,TRUE,38871
97,Kaya,Stanley,"1357 Addison Street, Berkeley GA 94702",325170521,Pharmacy Crossover,FALSE,30961
98,Isabelle,Choi,"3704 Hughes Road, Louisville GA 40207",373775171,Pharmacy Crossover,FALSE,37990
99,Jaliyah,Griffin,"517 Retford Drive, Severna Park GA 21146",543543533,Pharmacy Crossover,FALSE,38060
100,Janiah,Johnson,"517 Copperfield Way, Brentwood GA 37027",424562567,Pharmacy Crossover,FALSE,42678
